log_best21_v08.txt:val2.csv val accuracy = 0.96601;best21_v08_val2_0,96601
log_best21_v08.txt:val3.csv val accuracy = 0.96289;best21_v08_val3_0,96289
log_best21_v08.txt:val4.csv val accuracy = 0.9671;best21_v08_val4_0,9671
log_best21_v08.txt:val5.csv val accuracy = 0.96594;best21_v08_val5_0,96594
log_best21_v08.txt:val6.csv val accuracy = 0.96434;best21_v08_val6_0,96434
log_best21_v08.txt:val7.csv val accuracy = 0.96986;best21_v08_val7_0,96986
log_best21_v09.txt:val0.csv val accuracy = 0.96666;best21_v09_val0_0,96666
log_best21_v09.txt:val1.csv val accuracy = 0.96405;best21_v09_val1_0,96405
log_best21_v09.txt:val2.csv val accuracy = 0.96833;best21_v09_val2_0,96833
log_best21_v09.txt:val3.csv val accuracy = 0.96492;best21_v09_val3_0,96492
log_best21_v09.txt:val4.csv val accuracy = 0.96935;best21_v09_val4_0,96935
log_best21_v09.txt:val5.csv val accuracy = 0.96441;best21_v09_val5_0,96441
log_best21_v09.txt:val6.csv val accuracy = 0.97262;best21_v09_val6_0,97262
log_best21_v09.txt:val7.csv val accuracy = 0.96681;best21_v09_val7_0,96681
log_best21_v10.txt:val0.csv val accuracy = 0.96754;best21_v10_val0_0,96754
log_best21_v10.txt:val1.csv val accuracy = 0.96659;best21_v10_val1_0,96659
log_best21_v10.txt:val2.csv val accuracy = 0.97109;best21_v10_val2_0,97109
log_best21_v10.txt:val3.csv val accuracy = 0.96238;best21_v10_val3_0,96238
log_best21_v10.txt:val4.csv val accuracy = 0.97138;best21_v10_val4_0,97138
log_best21_v10.txt:val5.csv val accuracy = 0.96754;best21_v10_val5_0,96754
log_best21_v10.txt:val6.csv val accuracy = 0.9679;best21_v10_val6_0,9679
log_best21_v10.txt:val7.csv val accuracy = 0.96877;best21_v10_val7_0,96877
log_best21_v11.txt:val0.csv val accuracy = 0.96514;best21_v11_val0_0,96514
log_best21_v11.txt:val1.csv val accuracy = 0.96332;best21_v11_val1_0,96332
log_best21_v11.txt:val2.csv val accuracy = 0.97022;best21_v11_val2_0,97022
log_best21_v11.txt:val3.csv val accuracy = 0.96252;best21_v11_val3_0,96252
log_best21_v11.txt:val4.csv val accuracy = 0.96223;best21_v11_val4_0,96223
log_best21_v11.txt:val5.csv val accuracy = 0.9634;best21_v11_val5_0,9634
